Date,Currency_code,Country,Local_price,Dollar_price
2011-07-01,IDR,Indonesia,22534,2.643904728
2011-07-01,INR,India,84,1.891891892
2011-07-01,ILS,Israel,15.9,4.671867425
2011-07-01,JPY,Japan,320,4.083455624
2011-07-01,KRW,South Korea,3700,3.503124408
2011-07-01,LKR,Sri Lanka,280,2.557661567
2011-07-01,MXN,Mexico,32,2.741897479
2011-07-01,MYR,Malaysia,7.2,2.421796165
2011-07-01,NOK,Norway,45,8.311707502
2011-07-01,NZD,New Zealand,5.1,4.411500001
2011-07-01,PKR,Pakistan,205.13,2.375702125
2011-07-01,PEN,Peru,10,3.652968037
2011-07-01,PHP,Philippines,118,2.78236265
2011-07-01,PLN,Poland,8.63,3.085669336
2011-07-01,RUB,Russia,75,2.702459238
2011-07-01,SAR,Saudi Arabia,10,2.666524452
2011-07-01,SGD,Singapore,4.41,3.653535479
2011-07-01,SEK,Sweden,48.4,7.639853517
2011-07-01,THB,Thailand,70,2.352941176
2011-07-01,TRY,Turkey,6.5,3.772818295
2011-07-01,TWD,Taiwan,75,2.601095928
2011-07-01,UAH,Ukraine,16.5,2.064048036
2011-07-01,UYU,Uruguay,90,4.87804878
2011-07-01,USD,United States,4.065,4.065
2011-07-01,ZAR,South Africa,19.45,2.873457087
2012-01-01,AED,UAE,12,3.267084127
2012-01-01,ARS,Argentina,20,4.636606004
2012-01-01,AUD,Australia,4.8,4.93656
2012-01-01,BRL,Brazil,10.25,5.67867036
2012-01-01,CAD,Canada,4.73,4.632939909
2012-01-01,CHF,Switzerland,6.5,6.805570097
2012-01-01,CLP,Chile,2050,4.050983104
2012-01-01,CNY,China,15.4,2.438445095
2012-01-01,COP,Colombia,8400,4.535269822
2012-01-01,CRC,Costa Rica,2050,4.023236645
2012-01-01,CZK,Czech Republic,70.22,3.448013415
2012-01-01,DKK,Denmark,31.5,5.37418854
2012-01-01,EGP,Egypt,15.5,2.567500414
2012-01-01,EUR,Euro area,3.49245637,4.430704775
2012-01-01,GBP,Britain,2.49,3.823395002
2012-01-01,HKD,Hong Kong,16.5,2.124276619
2012-01-01,HUF,Hungary,645,2.625214062
2012-01-01,IDR,Indonesia,22534,2.460043668
2012-01-01,INR,India,84,1.6183412
2012-01-01,ILS,Israel,15.9,4.131479797
2012-01-01,JPY,Japan,320,4.160166407
2012-01-01,KRW,South Korea,3700,3.193096009
2012-01-01,LKR,Sri Lanka,290,2.545422628
2012-01-01,MXN,Mexico,37,2.703808716
2012-01-01,MYR,Malaysia,7.35,2.341099839
2012-01-01,NOK,Norway,41,6.788191857
2012-01-01,NZD,New Zealand,5.1,4.047615
2012-01-01,PKR,Pakistan,260,2.887284842
2012-01-01,PEN,Peru,10,3.714020427
2012-01-01,PHP,Philippines,118,2.681513464
2012-01-01,PLN,Poland,9.1,2.584896817
2012-01-01,RUB,Russia,81,2.549631248
2012-01-01,SAR,Saudi Arabia,10,2.666524452
2012-01-01,SGD,Singapore,4.85,3.75154703
2012-01-01,SEK,Sweden,41,5.913063544
2012-01-01,THB,Thailand,78,2.456692913
2012-01-01,TRY,Turkey,6.6,3.54276819
2012-01-01,TWD,Taiwan,75,2.501709501
2012-01-01,UAH,Ukraine,17,2.114296375
2012-01-01,UYU,Uruguay,90,4.627249357
2012-01-01,USD,United States,4.19722,4.19722
2012-01-01,ZAR,South Africa,19.95,2.453753813
2012-07-01,AED,UAE,12,3.267128602
2012-07-01,ARS,Argentina,19,4.160963592
2012-07-01,AUD,Australia,4.56,4.680155999
2012-07-01,BRL,Brazil,10.08,4.935974341
2012-07-01,CAD,Canada,5.12,5.022315955
2012-07-01,CHF,Switzerland,6.5,6.56167979
2012-07-01,CLP,Chile,2050,4.157793327
2012-07-01,CNY,China,15.65,2.44971433
2012-07-01,COP,Colombia,8600,4.765929148
2012-07-01,CZK,Czech Republic,70.33,3.34141011
2012-07-01,DKK,Denmark,28.5,4.645022492
2012-07-01,EGP,Egypt,16,2.637435094
2012-07-01,EUR,Euro area,3.583482241,4.344434693
2012-07-01,GBP,Britain,2.69,4.1623715
2012-07-01,HKD,Hong Kong,16.5,2.126795692
2012-07-01,HUF,Hungary,830,3.484245961
2012-07-01,IDR,Indonesia,24200,2.552069602
2012-07-01,INR,India,89,1.584616754
2012-07-01,ILS,Israel,11.9,2.919349893
2012-07-01,JPY,Japan,320,4.091025313
2012-07-01,KRW,South Korea,3700,3.214596003
2012-07-01,LKR,Sri Lanka,290,2.213740458
2012-07-01,MXN,Mexico,37,2.703295098
