Date,Open,High,Low,Close,Volume,Adj_Close
2013-12-24,182.5399933,183.0099945,182.5299988,182.9299927,45368800,149.8486938
2013-12-26,183.3399963,183.9600067,183.3200073,183.8600006,63365000,150.6106262
2013-12-27,184.1000061,184.1799927,183.6600037,183.8500061,61814000,150.6023865
2013-12-30,183.8699951,184.0200043,183.5800018,183.8200073,56857000,150.5778046
2013-12-31,184.0700073,184.6900024,183.9299927,184.6900024,86119900,151.2904663
2014-01-02,183.9799957,184.0700073,182.4799957,182.9199982,119636900,149.8405304
2014-01-03,183.2299957,183.6000061,182.6300049,182.8899994,81390600,149.815979
2014-01-06,183.4900055,183.5599976,182.0800018,182.3600006,108028200,149.3818359
2014-01-07,183.0899963,183.7899933,182.9499969,183.4799957,86144200,150.2992554
2014-01-08,183.4499969,183.8300018,182.8899994,183.5200043,96582300,150.3320313
2014-01-09,184.1100006,184.1300049,182.8000031,183.6399994,90683400,150.4303436
2014-01-10,183.9499969,184.2200012,183.0099945,184.1399994,102026400,150.8399353
2014-01-13,183.6699982,184.1799927,181.3399963,181.6900024,149892000,148.8329773
2014-01-14,182.2899933,183.7700043,181.9499969,183.6699982,105016100,150.4548798
2014-01-15,184.1000061,184.9400024,183.7100067,184.6600037,98525800,151.2659149
2014-01-16,184.2799988,184.6600037,183.8300018,184.4199982,72290600,151.0692902
2014-01-17,184.1000061,184.4499969,183.3200073,183.6399994,107848700,150.4303436
2014-01-21,184.6999969,184.7700043,183.0500031,184.1799927,88621200,150.8726959
2014-01-22,184.4900055,184.5700073,183.9100037,184.3000031,61270900,150.9710388
2014-01-23,183.3699951,183.3999939,181.8200073,182.7899933,132496900,149.7341003
2014-01-24,181.6000061,181.6600037,178.8300018,178.8899994,208677100,146.5393524
2014-01-27,179.0599976,179.5200043,177.1199951,178.0099945,180843100,145.8184662
2014-01-28,178.1399994,179.3000031,178.1199951,179.0700073,110463200,146.6868134
2014-01-29,177.5800018,178.5500031,176.8800049,177.3500061,216597300,145.2778473
2014-01-30,178.8300018,179.8099976,178.2599945,179.2299957,118938100,146.8178253
2014-01-31,177.0099945,179.2899933,176.9199982,178.1799927,194677900,145.9577637
2014-02-03,177.9700012,178.3699951,173.8300018,174.1699982,254837100,142.6728973
2014-02-04,174.9499969,175.8399963,174.1100006,175.3899994,165012400,143.6723328
2014-02-05,174.7799988,175.5599976,173.7100067,175.1699982,164230500,143.4920959
2014-02-06,175.5800018,177.4799957,175.2200012,177.4799957,132877600,145.3843689
2014-02-07,178.3099976,179.8699951,177.7299957,179.6799927,170787200,147.1864471
2014-02-10,179.6999969,180.0700073,179.2100067,180.0099945,92218800,147.4567719
2014-02-11,180.1600037,182.4400024,180.0399933,181.9799957,117814100,149.0705566
2014-02-12,182.25,182.8300018,181.7100067,182.0700073,94717700,149.1442719
2014-02-13,180.8399963,183.1999969,180.8300018,183.0099945,100542200,149.9142609
2014-02-14,182.8399963,184.3600006,182.6699982,184.0200043,96498400,150.741684
2014-02-18,184.1799927,184.4900055,183.6499939,184.2400055,80460900,150.9218597
2014-02-19,183.7599945,184.9499969,182.8699951,183.0200043,126524300,149.9224701
2014-02-20,183.2700043,184.5200043,182.6000061,184.1000061,104998100,150.8072052
2014-02-21,184.4499969,184.8899994,183.8000031,183.8899994,118116400,150.6351471
2014-02-24,184.2799988,186.1499939,184.1999969,184.9100037,114063900,151.4706879
2014-02-25,185.0599976,185.5899963,184.2299957,184.8399963,117085000,151.4133453
2014-02-26,185.1100006,185.6000061,184.3300018,184.8500061,98677200,151.4215088
2014-02-27,184.5800018,185.8699951,184.3699951,185.8200073,93880800,152.2161102
2014-02-28,185.7899933,187.1499939,185.0500031,186.2899933,150842000,152.6011353
2014-03-03,184.6499939,185.4499969,183.75,184.9799957,167748500,151.5279999
2014-03-04,186.7899933,187.9799957,186.75,187.5800018,167545900,153.6578827
2014-03-05,187.7400055,188.0700073,187.4499969,187.75,88376900,153.7971191
2014-03-06,188.2100067,188.6100006,187.7799988,188.1799927,82516500,154.1493073
2014-03-07,188.9600067,188.9600067,187.4299927,188.2599945,114513500,154.2148438
2014-03-10,187.9700012,188.2299957,187.0800018,188.1600037,74939200,154.1329651
2014-03-11,188.4400024,188.7100067,186.8000031,187.2299957,99009100,153.3711243
2014-03-12,186.3200073,187.3500061,185.8999939,187.2799988,104824400,153.4121094
2014-03-13,187.8399963,187.9900055,184.6600037,185.1799927,155014300,151.6918793
2014-03-14,184.8500061,185.8000031,184.4400024,184.6600037,153919600,151.2659149
2014-03-17,185.5899963,186.7700043,185.5099945,186.3300018,98359500,152.6338959
2014-03-18,186.7100067,187.9100037,186.5099945,187.6600037,101804600,153.7233887
2014-03-19,187.6799927,187.9400024,185.4700012,186.6600037,176267300,152.9042206
2014-03-20,186.25,187.8899994,185.9199982,187.75,117241000,153.7971191
2014-03-21,187.7100067,189.0200043,186.0299988,186.1999969,163128000,153.200592
2014-03-24,186.8399963,187.0700073,184.6199951,185.4299927,121411000,152.5670319
2014-03-25,186.3699951,186.9400024,185.2700043,186.3099976,103852000,153.2910461
2014-03-26,187.0399933,187.3399963,184.9199982,184.9700012,119843000,152.1885834
2014-03-27,184.75,185.3399963,183.8999939,184.5800018,142383000,151.8676758
2014-03-28,185.1100006,186.4199982,185,185.4900055,101642000,152.616394
2014-03-31,186.6699982,187.3000031,185.5200043,187.0099945,99745000,153.8670197
2014-04-01,187.6199951,188.3600006,187,188.25,89193000,154.8872528
2014-04-02,188.4900055,189.1300049,188.1399994,188.8800049,78774000,155.4055786
2014-04-03,189.1699982,189.2200012,188.0500031,188.6300049,77435000,155.1999512
2014-04-04,189.6600037,189.6999969,186.1000061,186.3999939,169381000,153.3651733
2014-04-07,185.9499969,186.2599945,183.9600067,184.3399963,140803000,151.6702271
2014-04-08,184.2599945,185.3999939,183.5899963,185.1000061,112660000,152.2955322
2014-04-09,185.6000061,187.1499939,185.0599976,187.0899963,100254000,153.9328613
2014-04-10,187.0800018,187.1699982,182.9299927,183.1600037,172959000,150.6993256
2014-04-11,182.1399994,183.4199982,181.3099976,181.5099945,167251000,149.3417511
2014-04-14,182.9299927,183.3699951,181.4400024,182.9400024,132382000,150.5183563
2014-04-15,183.3200073,184.3300018,181.5099945,184.1999969,157093000,151.5550537
2014-04-16,185.4700012,186.1399994,184.6499939,186.1300049,105197000,153.1430054
2014-04-17,185.8800049,186.9100037,185.5599976,186.3899994,105255000,153.3569183
2014-04-21,186.4400024,187.1000061,186.2100067,187.0399933,68329000,153.8916321
2014-04-22,187.2299957,188.3999939,187.1300049,187.8899994,85790000,154.5910645
2014-04-23,187.8200073,187.9199982,187.3000031,187.4499969,73869000,154.2290344
2014-04-24,188.3699951,188.3899994,186.9299927,187.8300018,88170000,154.5417023
2014-04-25,187.2200012,187.3300018,185.8699951,186.2899933,100380000,153.2746429
2014-04-28,187.0500031,187.6900024,184.9600067,186.8800049,135121000,153.7600708
2014-04-29,187.4799957,188.0399933,187.0800018,187.75,84098000,154.4758911
2014-04-30,187.4400024,188.5,187.1799927,188.3099976,101508000,154.936615
2014-05-01,188.2200012,188.8399963,187.7299957,188.3300018,93019000,154.953125
