Rank,Company,Sector,Employees,Revenues,Profits,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,MarketCap
829,CNX Resources,Energy,470,3434.9,1720.7,8626.7,Nicholas J. DeIuliis,U.S.,Canonsburg,Pennsylvania,https://www.cnx.com,Public,3632
830,Chefs' Warehouse,Wholesalers,4873,3433.8,34.6,1705.3,Christopher Pappas,U.S.,Ridgefield,Connecticut,https://www.chefswarehouse.com,Public,1499
831,Donaldson,Industrials,13000,3430.8,358.8,2770.5,Tod E. Carpenter,U.S.,Minneapolis,Minnesota,https://www.donaldson.com,Public,8989
832,Mueller Industries,Industrials,4509,3420.3,602.9,2759.3,Gregory L. Christopher,U.S.,Collierville,Tennessee,https://www.muellerindustries.com,Public,6126
833,MRC Global,Wholesalers,2800,3412,114,1886,Robert J. Saltiel Jr.,U.S.,Houston,Texas,https://www.mrcglobal.com,Public,1061
834,Chart Industries,Industrials,11637,3411.3,47.3,9102.4,Jillian C. Evanko,U.S.,Ball Ground,Georgia,https://www.chartindustries.com,Public,6964
835,Alight,Business Services,18000,3410,-345,10782,Stephan D. Scholl,U.S.,Lincolnshire,Illinois,https://www.alight.com,Public,5545
836,Vishay Intertechnology,Technology,23500,3402,323.8,4239.9,Joel Smejkal,U.S.,Malvern,Pennsylvania,https://www.vishay.com,Public,3119
837,Range Resources,Energy,548,3374.4,871.1,7203.9,Dennis L. Degner,U.S.,Fort Worth,Texas,https://www.rangeresources.com,Public,8353
838,Valley National Bancorp,Financials,3749,3364.6,498.5,60935,Ira D. Robbins,U.S.,New York,New York,https://valley.com/,Public,4051
839,Match Group,Technology,2610,3364.5,651.5,4507.9,Bernard Kim,U.S.,Dallas,Texas,https://www.mtch.com,Public,9724
