Rank,Company,Sector,Employees,Revenues,Profits,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,MarketCap
579,Church & Dwight,Household Products,5550,5867.9,755.6,8569.2,Matthew T. Farrell,U.S.,Ewing,New Jersey,https://www.churchdwight.com,Public,25442
580,Old Dominion Freight Line,Transportation,22902,5866.2,1239.5,5512.4,Kevin M. Freeman,U.S.,Thomasville,North Carolina,https://www.odfl.com,Public,47738
581,U-Haul Holding,Transportation,26501,5864.7,923,18124.6,Edward J. Shoen,U.S.,Reno,Nevada,https://www.uhaul.com,Public,13091
582,Oscar Health,Health Care,2400,5862.9,-270.7,3601.5,Mark T. Bertolini,U.S.,New York,New York,https://www.hioscar.com,Public,3416
583,Arista Networks,Technology,4023,5860.2,2087.3,9946.8,Jayshree V. Ullal,U.S.,Santa Clara,California,https://www.arista.com,Public,90658
584,Synopsys,Technology,20300,5842.6,1229.9,10333.1,Sassine Ghazi,U.S.,Sunnyvale,California,https://www.synopsys.com,Public,87179
585,Harley-Davidson,Transportation,6400,5836.5,706.6,12140.6,Jochen Zeitz,U.S.,Milwaukee,Wisconsin,https://www.harley-davidson.com,Public,5973
586,Frontier Communications,Telecommunications,13297,5751,29,20693,Nick Jeffery,U.S.,Dallas,Texas,https://www.frontier.com,Public,6023
587,Primoris Services,Engineering & Construction,14058,5715.3,126.1,3827.4,Thomas E. McCormick,U.S.,Dallas,Texas,https://www.prim.com,Public,2283
588,Carlisle,Materials,11100,5700.1,767.4,6620,D. Christian Koch,U.S.,Scottsdale,Arizona,https://www.carlisle.com,Public,18732
589,Simon Property Group,Financials,2750,5658.8,2283.1,34283.5,David E. Simon,U.S.,Indianapolis,Indiana,https://www.simon.com,Public,50980
590,Hanesbrands,Apparel,47520,5636.5,-17.7,5640.3,Stephen B. Bratspies,U.S.,Winston-Salem,North Carolina,https://www.hanes.com,Public,2039
591,Anywhere Real Estate,Financials,8028,5636,-97,5839,Ryan M. Schneider,U.S.,Madison,New Jersey,https://www.anywhere.re,Public,687
592,Teledyne Technologies,Aerospace & Defense,14900,5635.5,885.7,14527.9,Edwin Roks,U.S.,Thousand Oaks,California,https://www.teledyne.com,Public,20342
593,CME Group,Financials,3565,5578.9,3226.2,129706.1,Terrence A. Duffy,U.S.,Chicago,Illinois,https://www.cmegroup.com,Public,77511
594,Juniper Networks,Technology,11144,5564.5,310.2,9518.5,Rami Rahim,U.S.,Sunnyvale,California,https://www.juniper.net,Public,12022
595,Coty,Household Products,11350,5554.1,508.2,12661.6,Sue Y. Nabi,U.S.,New York,New York,https://www.coty.com,Public,10706
596,Pool,Wholesalers,6100,5541.6,523.2,3428.1,Peter D. Arvan,U.S.,Covington,Louisiana,https://www.poolcorp.com,Public,15529
597,Evergy,Energy,4658,5508.2,731.3,30976.1,David A. Campbell,U.S.,Kansas City,Missouri,https://investors.evergy.com,Public,12264
598,Marvell Technology,Technology,6544,5507.7,-933.4,21228.5,Matthew J. Murphy,U.S.,Wilmington,Delaware,https://www.marvell.com,Public,61382
599,NiSource,Energy,7388,5505.4,714.3,31077.2,Lloyd M. Yates,U.S.,Merrillville,Indiana,https://www.nisource.com,Public,12379
600,SS&C Technologies Holdings,Technology,26600,5502.8,607.1,18102.5,William C. Stone,U.S.,Windsor,Connecticut,https://www.ssctech.com,Public,15907
601,Schneider National,Transportation,17300,5498.9,238.5,4557.2,Mark B. Rourke,U.S.,Green Bay,Wisconsin,https://www.schneider.com,Public,3993
602,Autodesk,Technology,13700,5497,906,9912,Andrew Anagnost,U.S.,San Francisco,California,https://www.autodesk.com,Public,55708
603,Sealed Air,Materials,17000,5488.9,341.6,7200.6,Patrick Kivits,U.S.,Charlotte,North Carolina,https://www.sealedair.com,Public,5375
604,Iron Mountain,Business Services,27000,5480.3,184.2,17473.8,William L. Meaney,U.S.,Portsmouth,New Hampshire,https://www.ironmountain.com,Public,23443
605,Digital Realty Trust,Financials,3664,5477.1,948.8,44113.3,Andrew P. Power,U.S.,Austin,Texas,https://www.digitalrealty.com,Public,44983
606,Keysight Technologies,Technology,14900,5464,1057,8683,Satish Dhanasekaran,U.S.,Santa Rosa,California,https://www.keysight.com,Public,27297
607,Globe Life,Financials,3636,5447.5,970.8,28051.5,Frank M. Svoboda,U.S.,McKinney,Texas,https://www.globelifeinsurance.com,Public,10943
608,Parsons,Aerospace & Defense,18500,5442.7,161.1,4804.1,Carey A. Smith,U.S.,Chantilly,Virginia,https://www.parsons.com,Public,8779
609,Mattel,Household Products,33000,5441.2,214.4,6435.8,Ynon Kreiz,U.S.,El Segundo,California,https://www.mattel.com,Public,6815
610,Southwest Gas Holdings,Energy,14943,5434,150.9,11869.9,Karen S. Haller,U.S.,Las Vegas,Nevada,https://www.swgasholdings.com,Public,5454
611,CUNA Mutual Group (TruStage),Financials,4100,5425.6,139.7,44970.3,Terrance  Williams,U.S.,Madison,Wisconsin,https://www.cunamutual.com,Private,
612,Clean Harbors,Business Services,21280,5409.2,377.9,6382.9,Eric W. Gerstenberg,U.S.,Norwell,Massachusetts,https://www.cleanharbors.com,Public,10859
613,Cornerstone Building Brands,Materials,17600,5402.4,-75.5,6933.3,Rose Lee,U.S.,Cary,North Carolina,https://www.cornerstonebuildingbrands.com,Private,3089
614,Hubbell,Industrials,18317,5372.9,759.8,6914,Gerben W. Bakker,U.S.,Shelton,Connecticut,https://www.hubbell.com,Public,22281
615,Spirit Airlines,Transportation,13167,5362.5,-447.5,9417.2,Edward M. Christie III,U.S.,Miramar,Florida,https://www.spirit.com,Public,530
616,Lamb Weston Holdings,"Food, Beverages & Tobacco",10300,5350.6,1008.9,6519.8,Thomas P. Werner,U.S.,Eagle,Idaho,https://www.lambweston.com,Public,15380
617,Take-Two Interactive Software,Media,11580,5349.9,-1124.7,15862.1,Strauss H. Zelnick,U.S.,New York,New York,https://www.take2games.com,Public,25330
618,GMS,Wholesalers,7007,5329.3,333,3267,John C. Turner Jr.,U.S.,Tucker,Georgia,https://www.gms.com,Public,3877
619,Penn Mutual Life Insurance,Financials,3370,5318.9,201,46740.7,David M. O'Malley,U.S.,Horsham,Pennsylvania,https://www.pennmutual.com,Private,
620,Landstar System,Transportation,1468,5313.5,264.4,1801.8,Frank A. Lonegro,U.S.,Jacksonville,Florida,https://www.landstar.com,Public,6894
621,Host Hotels & Resorts,Financials,163,5311,740,12243,James F. Risoleo,U.S.,Bethesda,Maryland,https://www.hosthotels.com,Public,14551
622,Fortinet,Technology,13568,5304.8,1147.8,7258.9,Ken Xie,U.S.,Sunnyvale,California,https://www.fortinet.com,Public,52123
623,OneMain Holdings,Financials,9100,5299,641,24294,Douglas H. Shulman,U.S.,Evansville,Indiana,https://onemainfinancial.com,Public,6119
624,GameStop,Retailing,15750,5272.8,6.7,2709,Ryan Cohen,U.S.,Grapevine,Texas,https://www.gamestop.com,Public,3830
625,Equifax,Business Services,14900,5265.2,545.3,12280,Mark W. Begor,U.S.,Atlanta,Georgia,https://www.equifax.com,Public,33234
626,American Eagle Outfitters,Retailing,26700,5261.8,170,3557.9,Jay L. Schottenstein,U.S.,Pittsburgh,Pennsylvania,https://www.aeo-inc.com,Public,5085
627,Comerica,Financials,7701,5253,881,85834,Curtis C. Farmer,U.S.,Dallas,Texas,https://www.comerica.com,Public,7286
628,Greif,Materials,12000,5218.6,359.2,5960.8,Ole G. Rosgaard,U.S.,Delaware,Ohio,https://www.greif.com,Public,3264
629,Comfort Systems USA,Engineering & Construction,15800,5206.8,323.4,3305.6,Brian E. Lane,U.S.,Houston,Texas,https://www.comfortsystemsusa.com,Public,11337
630,TopBuild,Engineering & Construction,14012,5194.7,614.3,5162.9,Robert M. Buck,U.S.,Daytona Beach,Florida,https://www.topbuild.com,Public,14022
631,Bread Financial Holdings,Business Services,7000,5168,718,23141,Ralph J. Andretta,U.S.,Columbus,Ohio,https://www.breadfinancial.com,Public,1841
632,Coherent,Technology,26622,5160.1,-259.5,13711.1,Vincent D. Mattera Jr.,U.S.,Saxonburg,Pennsylvania,https://www.coherent.com,Public,9203
633,Telephone & Data Systems,Telecommunications,8800,5160,-500,13921,LeRoy T. Carlson Jr.,U.S.,Chicago,Illinois,https://www.tdsinc.com,Public,1810
634,Stifel Financial,Financials,9000,5159.3,522.5,37727.5,Ronald J. Kruszewski,U.S.,St. Louis,Missouri,https://www.stifel.com,Public,8036
635,Urban Outfitters,Retailing,19460,5153.2,287.7,4111.2,Richard A. Hayne,U.S.,Philadelphia,Pennsylvania,https://www.urbn.com,Public,4029
636,Terex,Industrials,10200,5151.5,518,3615.5,Simon  Meester,U.S.,Norwalk,Connecticut,https://www.terex.com,Public,4315
637,Ryerson Holding,Materials,4600,5108.7,145.7,2569.6,Edward J. Lehner,U.S.,Chicago,Illinois,https://www.ryerson.com,Public,1140
638,Snap-on,Industrials,13200,5108.3,1011.1,7544.9,Nicholas T. Pinchuk,U.S.,Kenosha,Wisconsin,https://www.snapon.com,Public,15652
639,Flowers Foods,"Food, Beverages & Tobacco",9300,5090.8,123.4,3427,A. Ryals McMullian,U.S.,Thomasville,Georgia,https://www.flowersfoods.com,Public,5001
640,First Horizon,Financials,7314,5027,897,81661,D. Bryan Jordan,U.S.,Memphis,Tennessee,https://www.firsthorizon.com,Public,8546
641,Paychex,Business Services,16600,5007.1,1557.3,10546.4,John B. Gibson,U.S.,Rochester,New York,https://www.paychex.com,Public,44186
642,Hasbro,Household Products,5502,5003.3,-1489.3,6540.9,Christian P. Cocks,U.S.,Pawtucket,Rhode Island,https://www.hasbro.com,Public,7845
643,Sentry Insurance Group,Financials,4507,4994.4,373,24980.9,Peter G. McPartland,U.S.,Stevens Point,Wisconsin,https://www.sentry.com,Private,
644,Ares Management,Financials,2850,4991.8,474.3,24730.5,Michael J. Arougheti,U.S.,Los Angeles,California,https://www.aresmgmt.com,Public,41171
645,Lennox International,Industrials,12600,4981.9,590.1,2798.3,Alok Maskara,U.S.,Richardson,Texas,https://lennox.com,Public,17393
646,Peabody Energy,Energy,5400,4946.7,759.6,5962.1,James C. Grech,U.S.,St. Louis,Missouri,https://www.peabodyenergy.com,Public,3088
647,Kemper,Financials,8100,4944.2,-272.1,12742.7,Joseph P. Lacher Jr.,U.S.,Chicago,Illinois,https://www.kemper.com,Public,3984
648,Nexstar Media Group,Media,12586,4933,346,12078,Perry A. Sook,U.S.,Irving,Texas,https://www.nexstar.tv,Public,5759
649,TelevisaUnivision,Media,14000,4928,-873.6,17297.8,Wade C. Davis,U.S.,New York,New York,https://corporate.televisaunivision.com,Private,
650,Tempur Sealy International,Household Products,12000,4925.4,368.1,4553.9,Scott L. Thompson,U.S.,Lexington,Kentucky,https://www.tempursealy.com,Public,9865
651,TriNet Group,Business Services,3600,4922,375,3693,Mike  Simonds,U.S.,Dublin,California,https://www.trinet.com,Public,6700
652,Worthington Enterprises,Materials,8200,4916.4,256.5,3650.9,B. Andrew Rose,U.S.,Columbus,Ohio,https://www.worthingtonenterprises.com,Public,3111
653,Maximus,Technology,39600,4904.7,161.8,3985.8,Bruce L. Caswell,U.S.,McLean,Virginia,https://www.maximus.com,Public,5121
654,Compass,Technology,2549,4885,-321.3,1160.3,Robert L. Reffkin,U.S.,New York,New York,https://www.compass.com,Public,1769
655,Brink's,Business Services,67100,4874.6,87.7,6601.8,Mark Eubanks,U.S.,Richmond,Virginia,https://www.brinks.com,Public,4132
656,Kelly Services,Business Services,6200,4835.7,36.4,2581.6,Peter W. Quigley,U.S.,Troy,Michigan,https://www.kellyservices.com,Public,884
657,Navient,Financials,4500,4828,228,61375,David L. Yowan,U.S.,Herndon,Virginia,https://www.navient.com,Public,1962
658,Puget Energy,Energy,3340,4816.6,53.7,17732.5,Mary E. Kipp,U.S.,Bellevue,Washington,https://www.pugetenergy.com,Private,
659,AMC Entertainment Holdings,Media,18347,4812.6,-396.6,9009.2,Adam M. Aron,U.S.,Leawood,Kansas,https://www.amctheatres.com,Public,979
660,Encompass Health,Health Care,30059,4801.2,352,6102.4,Mark J. Tarr,U.S.,Birmingham,Alabama,https://www.encompasshealth.com,Public,8270
661,Skyworks Solutions,Technology,9701,4772.4,982.8,8426.7,Liam K. Griffin,U.S.,Irvine,California,https://www.skyworksinc.com,Public,17379
662,Timken,Industrials,19602,4769,394.1,6541.7,Richard G. Kyle,U.S.,North Canton,Ohio,https://www.timken.com,Public,6154
663,Liberty Energy,Energy,5500,4747.9,556.3,3033.6,Christopher A. Wright,U.S.,Denver,Colorado,https://libertyenergy.com,Public,3441
